"user_id","user_role_id","updated_at","created_at"
5935,3,"2014-06-22 11:49:05.349103","2014-06-22 11:49:05.349103"
5936,3,"2014-06-22 11:50:38.558535","2014-06-22 11:50:38.558535"
5937,3,"2014-06-22 11:51:17.943232","2014-06-22 11:51:17.943232"
5939,3,"2014-06-22 11:53:14.587117","2014-06-22 11:53:14.587117"
5942,3,"2014-06-22 11:57:35.639497","2014-06-22 11:57:35.639497"
5943,3,"2014-06-22 11:58:21.005141","2014-06-22 11:58:21.005141"
5947,3,"2014-06-22 12:06:00.327041","2014-06-22 12:06:00.327041"
5948,3,"2014-06-22 12:06:22.710751","2014-06-22 12:06:22.710751"
5955,3,"2014-06-22 12:21:18.477031","2014-06-22 12:21:18.477031"
5956,3,"2014-06-22 12:23:18.467208","2014-06-22 12:23:18.467208"
5959,3,"2014-06-22 12:24:46.889792","2014-06-22 12:24:46.889792"
5962,3,"2014-06-22 12:25:42.719337","2014-06-22 12:25:42.719337"
5963,3,"2014-06-22 12:30:03.88157","2014-06-22 12:30:03.88157"
5964,3,"2014-06-22 12:30:33.82961","2014-06-22 12:30:33.82961"
5971,3,"2014-06-22 12:33:37.658138","2014-06-22 12:33:37.658138"
5973,3,"2014-06-22 12:39:31.290985","2014-06-22 12:39:31.290985"
5990,3,"2014-06-22 12:57:20.679658","2014-06-22 12:57:20.679658"
5994,3,"2014-06-22 13:01:45.913865","2014-06-22 13:01:45.913865"
5996,3,"2014-06-22 13:07:14.78194","2014-06-22 13:07:14.78194"
5997,3,"2014-06-22 13:08:44.430826","2014-06-22 13:08:44.430826"
5998,3,"2014-06-22 13:09:04.203239","2014-06-22 13:09:04.203239"
5999,3,"2014-06-22 13:12:35.578936","2014-06-22 13:12:35.578936"
6004,3,"2014-06-22 13:20:07.781732","2014-06-22 13:20:07.781732"
6008,3,"2014-06-22 13:24:17.854009","2014-06-22 13:24:17.854009"
6012,3,"2014-06-22 13:30:05.825707","2014-06-22 13:30:05.825707"
6013,3,"2014-06-22 13:30:33.459682","2014-06-22 13:30:33.459682"
6014,3,"2014-06-22 13:31:54.295035","2014-06-22 13:31:54.295035"
6017,3,"2014-06-22 13:38:15.91247","2014-06-22 13:38:15.91247"
6022,3,"2014-06-22 13:40:55.432022","2014-06-22 13:40:55.432022"
6026,3,"2014-06-22 13:42:56.351947","2014-06-22 13:42:56.351947"
6028,3,"2014-06-22 13:44:19.638518","2014-06-22 13:44:19.638518"
6029,3,"2014-06-22 13:45:50.828376","2014-06-22 13:45:50.828376"
6031,3,"2014-06-22 13:53:17.043558","2014-06-22 13:53:17.043558"
6033,3,"2014-06-22 13:54:28.908002","2014-06-22 13:54:28.908002"
6034,3,"2014-06-22 13:57:52.352342","2014-06-22 13:57:52.352342"
6038,3,"2014-06-22 14:03:25.28986","2014-06-22 14:03:25.28986"
6042,3,"2014-06-22 14:06:29.896465","2014-06-22 14:06:29.896465"
6049,3,"2014-06-22 14:16:10.723951","2014-06-22 14:16:10.723951"
6050,3,"2014-06-22 14:20:32.321574","2014-06-22 14:20:32.321574"
6055,3,"2014-06-22 14:28:43.72238","2014-06-22 14:28:43.72238"
6058,3,"2014-06-22 14:32:57.200404","2014-06-22 14:32:57.200404"
6060,3,"2014-06-22 14:38:02.861129","2014-06-22 14:38:02.861129"
6063,3,"2014-06-22 14:39:10.946117","2014-06-22 14:39:10.946117"
6065,3,"2014-06-22 14:39:25.579511","2014-06-22 14:39:25.579511"
6066,3,"2014-06-22 14:39:44.567802","2014-06-22 14:39:44.567802"
6069,3,"2014-06-22 14:43:06.982587","2014-06-22 14:43:06.982587"
6071,3,"2014-06-22 14:43:28.422166","2014-06-22 14:43:28.422166"
6074,3,"2014-06-22 14:45:28.380881","2014-06-22 14:45:28.380881"
6089,3,"2014-06-22 15:09:41.424521","2014-06-22 15:09:41.424521"
6090,3,"2014-06-22 15:10:20.468099","2014-06-22 15:10:20.468099"
6091,3,"2014-06-22 15:10:31.868215","2014-06-22 15:10:31.868215"
6097,3,"2014-06-22 15:20:06.236485","2014-06-22 15:20:06.236485"
6106,3,"2014-06-22 15:37:02.971946","2014-06-22 15:37:02.971946"
6107,3,"2014-06-22 15:40:24.053574","2014-06-22 15:40:24.053574"
